N°	N° RESOLUCIÓN
1	181-3H0500/2021-000224
2	029-2022-SUNAT/3H0100
3	161-2023-SUNAT/3H0500
4	346-2023-SUNAT/3H0500
5	360-2023-SUNAT/3H0500
6	350-2023-SUNAT/3H0500
7	370-2023-SUNAT/3H0500
8	386-2023-SUNAT/3H0500
9	383-2023-SUNAT/3H0500
10	380-2023-SUNAT/3H0500
11	379-2023-SUNAT/3H0500
12	365-2023-SUNAT/3H0500
13	354-2023-SUNAT/3H0500
14	373-2023-SUNAT/3H0500
15	372-2023-SUNAT/3H0500
16	366-2023-SUNAT/3H0500
17	267-2023-SUNAT/3H0500
18	701-2022-SUNAT/3H0500
19	363-2023-SUNAT/3H0500
20	362-2023-SUNAT/3H0500
21	356-2023-SUNAT/3H0500
22	351-2023-SUNAT/3H0500
23	348-2023-SUNAT/3H0500
24	277-2023-SUNAT/3H0500
25	279-2023-SUNAT/3H0500
26	293-2023-SUNAT/3H0500
27	301-2023-SUNAT/3H0500
28	304-2023-SUNAT/3H0500
29	310-2023-SUNAT/3H0500
30	312-2023-SUNAT/3H0500
31	323-2023-SUNAT/3H0500
32	336-2023-SUNAT/3H0500
33	341-2023-SUNAT/3H0500
34	342-2023-SUNAT/3H0500
35	016-2023-SUNAT/3H0500
36	017-2023-SUNAT/3H0500
37	182-2023-SUNAT/3H0500
38	291-2023-SUNAT/3H0500
39	087-2023-SUNAT/3H0500
40	300-2023-SUNAT/3H0500
41	299-2023-SUNAT/3H0500
42	288-2023-SUNAT/3H0500
43	287-2023-SUNAT/3H0500
44	285-2023-SUNAT/3H0500
45	306-2023-SUNAT/3H0500
46	305-2023-SUNAT/3H0500
47	174-2023-SUNAT/3H0500
48	243-2023-SUNAT/3H0500
49	326-2023-SUNAT/3H0500
50	317-2023-SUNAT/3H0500
51	378-2023-SUNAT/3H0500
52	368-2023-SUNAT/3H0500
53	420-2023-SUNAT/3H0500
54	411-2023-SUNAT/3H0500
55	412-2023-SUNAT/3H0500
56	413-2023-SUNAT/3H0500
57	325-2023-SUNAT/3H0500
58	374-2023-SUNAT/3H0500
59	388-2023-SUNAT/3H0500
60	377-2023-SUNAT/3H0500
61	381-2023-SUNAT/3H0500
62	391-2023-SUNAT/3H0500
63	393-2023-SUNAT/3H0500
64	397-2023-SUNAT/3H0500
65	398-2023-SUNAT/3H0500
66	399-2023-SUNAT/3H0500
67	408-2023-SUNAT/3H0500
68	369-2023-SUNAT/3H0500
69	407-2023-SUNAT/3H0500
70	280-2023-SUNAT/3H0500
71	307-2023-SUNAT/3H0500
72	246-2023-SUNAT/3H0500
73	344-2023-SUNAT/3H0500
74	435-2023-SUNAT/3H0500
75	347-2023-SUNAT/3H0500
76	296-2023-SUNAT/3H0500
77	027-2023-SUNAT/3H0500
78	214-2023-SUNAT/3H0500
79	364-2023-SUNAT/3H0500
80	389-2023-SUNAT/3H0500
81	371-2023-SUNAT/3H0500
82	424-2023-SUNAT/3H0500
83	012-2023-SUNAT/3H0500
84	423-2023-SUNAT/3H0500
85	456-2023-SUNAT/3H0500
86	454-2023-SUNAT/3H0500
87	452-2023-SUNAT/3H0500
88	451-2023-SUNAT/3H0500
89	450-2023-SUNAT/3H0500
90	448-2023-SUNAT/3H0500
91	447-2023-SUNAT/3H0500
