N.º	RESOLUCIÓN DE DIVISIÓN
1	000441-2020-SUNAT/3H0500
	000048-2021-SUNAT/3H0100
	000008-2023-SUNAT/7U4100
	000528-2021-SUNAT/3H0500
2	181-3H0500/2017-001055
	181 3H0100/2018-000134
	000053-2022-SUNAT/7U7200 RTF 02369-A-2024
3	000054-2022-SUNAT/3H0500
	000211-2022-SUNAT/7U7200 RTF 03100-A-2024
	000453-2021/SUNAT/3H0500
	181-3H0500/2017-000692
4	181-3H0100/2018-000059
	000079-2022-SUNAT/3H0100 RTF 00458-A-2024
5	000408-2022 -SUNAT/3H0500
	4090140002135
6	000583-2022-SUNAT/3H0500
	4090140001754
7	000020-2023-SUNAT/3H0500
	4090140002895
8	000046-2023-SUNAT/3H0500
	000091-2023-SUNAT/3H0500
	000790-2022-SUNAT/3H0500
	000057-2023-SUNAT/3H0500
9	181-3H0500/2018-000679
	181-3H0100/2019-000096
	4090140003177
	000335-2023-SUNAT/3H0500
10	000390-2023-SUNAT/3H0500
	4090140004201
11	000440-2023-SUNAT/3H0500
	4090140005724
12	000548-2023-SUNAT/3H0500
	4090140004709
	4090150000089
13	000584-2023-SUNAT/3H0500
	4090140004885
14	000761-2023-SUNAT/3H0500
	4090140005451
15	000792-2023-SUNAT/3H0500
16	000867-2023-SUNAT/3H0500
17	000915-2023-SUNAT/3H0500
	4090140006873
18	000992-2023-SUNAT/3H0500
	4090140006758
19	001051-2023-SUNAT/3H0500
20	001174-2023-SUNAT/3H0500
	4090140007250
21	001416-2023-SUNAT/3H0500
	4090140007497

